date,holidays,important
201201,7,1
201202,0,0
201203,0,0
201204,4,1
201205,1,1
201206,1,0
201207,0,0
201208,0,0
201209,0,0
201210,5,1
201211,0,0
201212,0,0
201301,3,1
201302,5,1
201303,0,0
201304,4,0
201305,1,1
201306,3,0
201307,0,0
201308,0,0
201309,2,0
201310,5,1
201311,0,0
201312,0,0
201401,2,1
201402,4,1
201403,0,0
201404,1,0
201405,2,1
201406,1,0
201407,0,0
201408,0,0
201409,1,1
201410,5,1
201411,0,0
201412,0,0
201501,2,1
201502,5,1
201503,0,0
201504,1,0
201505,1,1
201506,1,0
201507,0,0
201508,0,0
201509,2,0
201510,5,1
201511,0,0
201512,0,0
201601,1,0
201602,5,1
201603,0,0
201604,1,0
201605,1,1
201606,2,0
201607,0,0
201608,0,0
201609,2,1
201610,5,1
201611,0,0
201612,0,0
201701,4,1
201702,2,1
201703,0,0
201704,2,0
201705,3,1
201706,0,0
201707,0,0
201708,0,0
201709,0,0
201710,5,1
201711,0,0
201712,0,0